model,variable,coefficient,std_error,t_stat,p_value,significant_5pct,significant_1pct
H1_base,hw_days,0.8891676365580797,0.21093599992581594,4.215343217235517,3.870114457193985e-05,True,True
H1_base,summer_tmax_anomaly,6.975718379172983,2.0406801760302167,3.418330055395066,0.0007724595455893546,True,True
H2_interaction,hw_days,0.24023732598440817,0.651925569961665,0.3685042235703913,0.7129186378139489,False,False
H2_interaction,rsvi,60.95852002334215,28.871425802146007,2.1113789267314647,0.03608270432257776,True,False
H2_interaction,hw_days_x_rsvi,1.1522656741654569,1.0212607007103733,1.128277699674489,0.2606637230701474,False,False
H2_interaction,summer_tmax_anomaly,6.857071470348801,4.470839616664054,1.5337323765295903,0.12680385887517032,False,False
H2_interaction,tmax_anomaly_x_rsvi,-0.2542744874675471,5.620258899084987,-0.0452424865176486,0.963962827607272,False,False
H3_2022_amplification,hw_days,0.20541525024668847,0.6416690959173001,0.32012645077294305,0.7492376869341166,False,False
H3_2022_amplification,rsvi,58.534585175088345,29.28888201546482,1.9985257595077033,0.047140103571903236,True,False
H3_2022_amplification,hw_days_x_rsvi,1.5451778010417725,1.0429182775223766,1.4815904892496425,0.14016911583820502,False,False
H3_2022_amplification,summer_tmax_anomaly,5.178780993731975,3.7474322400956686,1.3819545389831425,0.16867024484660287,False,False
H3_2022_amplification,tmax_anomaly_x_rsvi,1.2358579844651443,3.8294164946028375,0.322727492871814,0.7472700581060125,False,False
H3_2022_amplification,hw_days_x_rsvi_x_d2022,-1.6424644355459217,1.0070380679665525,-1.630985449102679,0.1046131954023064,False,False
H3_2022_amplification,tmax_anomaly_x_rsvi_x_d2022,4.9396627695655155,33.17341440082888,0.1489042614028326,0.8817931402253425,False,False
