,count,mean,std,min,25%,50%,75%,max,missing,missing_pct
year,220.0,2017.0,3.169489249146717,2012.0,2014.0,2017.0,2020.0,2022.0,0,0.0
hw_days,220.0,9.186363636363636,7.912004373134416,0.0,3.75,7.0,14.0,32.0,0,0.0
hw_events,220.0,1.7636363636363637,1.439350898397368,0.0,1.0,1.5,3.0,7.0,0,0.0
hw_max_duration,220.0,5.240909090909091,3.5501828483245736,0.0,3.0,5.0,7.0,15.0,0,0.0
hw_intensity,220.0,1.1603094854214768,0.7293881487973558,0.0,0.7566077232360833,1.2718984740121024,1.6754274561785265,3.207225799560547,0,0.0
summer_tmax_mean,220.0,25.39354586165104,3.4908952554260453,12.80274366159908,24.30100341507646,26.159920887868914,27.625084775393127,30.72965707935271,0,0.0
summer_tmax_anomaly,220.0,-4.1179181277005805e-16,0.8980844791014709,-2.3583781848898955,-0.5594535215067973,0.07378880339834115,0.6649235343080351,1.8290867627821825,0,0.0
summer_deaths,220.0,10007.795454545454,7686.5041753336845,390.0,4159.0,6664.5,15716.0,35510.0,0,0.0
rsvi,220.0,0.541077540909091,0.16675375347692226,0.150794,0.39616375,0.619048,0.666667,0.756614,0,0.0
subidx_socioeconomic,220.0,0.5434704136363636,0.2670731398432843,0.107143,0.29761875,0.511905,0.777778,0.984127,0,0.0
subidx_age_vulnerability,220.0,0.5398268681818181,0.28465440896316674,0.047619,0.285714,0.5476194999999999,0.7738097500000001,1.0,0,0.0
subidx_healthcare_access,220.0,0.5399350681818182,0.2851797898548278,0.047619,0.285714,0.5476194999999999,0.7738097500000001,1.0,0,0.0
poverty_rate,220.0,19.667272727272728,10.275436055726583,4.9,11.1,15.15,27.825,42.3,0,0.0
gdp_per_capita,220.0,28065.31818181818,7674.4865601696765,16400.0,20675.0,28640.0,33725.0,49850.0,0,0.0
unemployment_rate,220.0,11.106136363636363,5.146273296256966,3.05,7.1,9.55,14.525,23.5,0,0.0
hospital_beds,220.0,319.9334090909091,42.12047426161843,193.71,290.58,323.315,352.3425,416.69,0,0.0
pct_65plus,220.0,26.726828040909087,3.015044376489231,19.325595,24.452268,26.801789499999998,28.65544175,34.144764,0,0.0
population,220.0,2969469.609090909,2474677.785042841,123360.0,1119010.0,1753991.0,4556421.5,10027602.0,0,0.0
mortality_rate,220.0,362.6925412936218,63.03314287367699,272.88204173983894,317.9576317461862,352.9459500577219,381.9366719997,649.2482388812953,0,0.0
log_mortality,220.0,5.880320403266019,0.15857419109641985,5.6090396202717825,5.761918027531719,5.866314916427413,5.945253419861908,6.475815137995929,0,0.0
mortality_rate_std,220.0,9.124014675101287e-16,1.0,-1.4248139226338379,-0.7097045698179382,-0.15462645191963093,0.3053017798056634,4.546111529960547,0,0.0
d2022,220.0,0.09090909090909091,0.28813538628606516,0.0,0.0,0.0,0.0,1.0,0,0.0
covid_period,220.0,0.2727272727272727,0.4463774210155885,0.0,0.0,0.0,1.0,1.0,0,0.0
hw_days_x_rsvi,220.0,4.917972145454546,4.889883067755879,0.0,1.22619075,3.656081,7.244712000000001,23.455034,0,0.0
tmax_anomaly_x_rsvi,220.0,-0.00046006671622521387,0.5206531805616804,-1.6813123942274129,-0.3249304916552277,0.030892099282965144,0.34616089534024513,1.287135671316873,0,0.0
hw_days_x_rsvi_x_d2022,220.0,0.8795095454545454,3.2454639900522375,0.0,0.0,0.0,0.0,20.317472,0,0.0
tmax_anomaly_x_rsvi_x_d2022,220.0,0.05889197919845639,0.20481451392289896,-0.0,0.0,0.0,0.0,1.287135671316873,0,0.0
